hex;r;g;b;h;s;v;name
0048BA;0;72;186;217;100;73;List of Crayola crayon colors#Extreme Twistables colors
B0BF1A;176;191;26;65;76;43;Acid green
7CB9E8;124;185;232;206;47;91;Air Force blue#Aero
C0E8D5;192;232;213;151.5;17.2;91;Aero blue
B284BE;178;132;190;288;31;75;African violet (color)
72A0C1;114;160;193;205;41;76;Air Force blue#Air superiority blue/PRU blue
EDEAE0;237;234;224;50;6;93;Shades of white#Alabaster
F0F8FF;240;248;255;208;6;100;Alice blue
C46210;196;98;16;27;92;77;Shades of orange#Alloy orange
EFDECD;239;222;205;30;14;94;Almond (color)
E52B50;229;43;80;348;81;90;Amaranth (color)
9F2B68;159;43;104;328;73;62;Amaranth (color)#Amaranth deep purple
F19CBB;241;156;187;338;35;95;Amaranth (color)#Amaranth pink
AB274F;171;39;79;342;77;67;Amaranth (color)#Amaranth purple
D3212D;211;33;45;356;84;83;Amaranth (color)
3B7A57;59;122;87;147;52;48;Amazon (color)
FFBF00;255;191;0;45;100;100;Amber (color)
FF7E00;255;126;0;30;100;100;Amber (color)#SAE/ECE_amber
9966CC;153;102;204;270;50;80;Amethyst (color)
A4C639;164;198;57;74;71;78;Android green
CD9575;205;149;117;22;43;80;Antique brass
665D1E;102;93;30;53;71;40;Antique bronze
915C83;145;92;131;316;37;57;46
841B2D;132;27;45;350;80;52;Ruby (color)#Antique ruby
FAEBD7;250;235;215;34;14;98;Shades of white#Antique white
8000;0;128;0;120;100;50;Ao (color)
8DB600;141;182;0;74;100;71;Chartreuse (color)#Apple green
FBCEB1;251;206;177;24;29;98;Apricot (color)
00FFFF;0;255;255;180;100;100;Aqua (color)
7FFFD4;127;255;212;160;50;100;Aquamarine (color)
D0FF14;208;255;20;72;92;100;Lime (color)#Arctic lime
4B5320;75;83;32;69;61;33;Shades of green#Army green
8F9779;143;151;121;76;20;59;Shades of green#Artichoke
E9D66B;233;214;107;51;54;91;Arylide yellow
B2BEB5;178;190;181;135;6;75;8
87A96B;135;169;107;93;37;66;26
FF9966;255;153;102;20;60;100;Shades of orange#Atomic tangerine
A52A2A;165;42;42;0;75;65;Auburn (color)
FDEE00;253;238;0;56;100;99;Aureolin
568203;86;130;3;81;98;51;95
007FFF;0;127;255;210;100;100;Azure (color)
F0FFFF;240;255;255;180;6;100;Shades of azure#Azure (web color)
89CFF0;137;207;240;199;43;94;Baby blue
A1CAF1;161;202;241;209;33;95;Baby blue#Baby blue eyes
F4C2C2;244;194;194;0;20;96;Shades of pink#Baby pink
FEFEFA;254;254;250;60;2;100;Shades of white#Baby powder
FF91AF;255;145;175;344;43;100;Baker-Miller pink
FAE7B5;250;231;181;43;28;98;List of Crayola crayon colors#Standard colors
DA1884;218;24;132;327;89;85;Shades_of_pink#Barbie_pink
7C0A02;124;10;2;4;98;49;Shades of red#Barn red
848482;132;132;130;60;2;52;Battleship grey
BCD4E6;188;212;230;206;18;90;Baby blue#Beau blue
9F8170;159;129;112;22;30;62;Shades of brown#Beaver
F5F5DC;245;245;220;60;10;96;Beige
2E5894;46;88;148;215;69;58;Sapphire (color)#B'dazzled blue
9C2542;156;37;66;345;76;61;Ruby (color)#Big dip o'ruby
FFE4C4;255;228;196;33;23;100;X11 color names#Color name charts
3D2B1F;61;43;31;24;49;24;Bistre
967117;150;113;23;43;85;59;Bistre#Bistre brown
CAE00D;202;224;13;66;94;88;46
BFFF00;191;255;0;75;100;100;Lime (color)
FE6F5E;254;111;94;6;63;100;Shades of orange#Bittersweet
BF4F51;191;79;81;359;59;75;Shades of orange#Bittersweet shimmer
3D0C02;61;12;2;10;97;24;Shades of black#Black bean
1B1811;27;24;17;42;37;11;Shades of black#Black chocolate
3B2F2F;59;47;47;0;20;23;Shades of black#Black coffee
54626F;84;98;111;209;24;44;List of Crayola crayon colors#Pearl Brite
3B3C36;59;60;54;70;10;24;Olive (color)#Black olive
BFAFB2;191;175;178;349;8;75;List of Crayola crayon colors#Heads 'n Tails
FFEBCD;255;235;205;36;20;100;X11 color names
A57164;165;113;100;12;39;65;Bronze (color)#Blast-off bronze
318CE7;49;140;231;210;79;91;Bleu de France (colour)
ACE5EE;172;229;238;188;28;93;List of Crayola crayon colors#Fluorescent crayons
FAF0BE;250;240;190;50;24;98;Blond
660000;102;0;0;0;100;40;Blood red
0000FF;0;0;255;240;100;100;Blue
1F75FE;31;117;254;217;88;100;Shades of blue#Blue (Crayola)
0093AF;0;147;175;190;100;69;Shades of blue#Blue (Munsell)
0087BD;0;135;189;197;100;74;Shades of blue#Blue (NCS) (psychological primary blue)
0018A8;0;24;168;231;100;66;Shades of blue#Blue (Pantone)
333399;51;51;153;240;67;60;Shades of blue#Blue (CMYK) (pigment blue)
0247FE;2;71;254;224;99;100;RYB color model
A2A2D0;162;162;208;240;22;82;List of Crayola crayon colors#Standard colors
6699CC;102;153;204;210;50;80;Blue-gray
126180;18;97;128;197;86;50;Sapphire (color)#Blue sapphire
8A2BE2;138;43;226;271;81;89;Indigo#Deep indigo (web color blue-violet)
7366BD;115;102;189;249;46;74;Violet (color)
4D1A7F;77;26;127;270;46;74;Violet (color)
5072A7;80;114;167;217;52;65;Air Force blue#Blue yonder
3C69E7;60;105;231;224;74;91;List of Crayola crayon colors
DE5D83;222;93;131;342;58;87;Red-violet#Blush
79443B;121;68;59;9;51;47;Bole (color)
E3DAC9;227;218;201;39;11;89;Shades of white#Bone
006A4E;0;106;78;164;100;42;Shades of green#Bottle green
87413F;135;65;63;2;53;53;Shades of brown#Brandy
CB4154;203;65;84;352;68;80;List of Crayola crayon colors#Standard colors
66FF00;102;255;0;96;100;100;Shades of green#Bright green
D891EF;216;145;239;285;39;94;Lilac (color)#Bright lilac
C32148;195;33;72;346;83;76;Maroon#Bright maroon
1974D2;25;116;210;210;88;82;Navy blue#Bright navy blue
FFAA1D;255;170;29;37;89;100;List of Crayola crayon colors#Heads 'n Tails
FF55A3;255;85;163;332;67;100;Rose (color)#Brilliant rose
FB607F;251;96;127;348;62;98;Rose (color)#Brink pink
4225;0;66;37;154;100;26;British racing green
CD7F32;205;127;50;30;76;80;Bronze (color)
88540B;136;84;11;35;92;53;Brown
AF6E4D;175;110;77;20;56;69;List of Crayola crayon colors#Heads 'n Tails
1B4D3E;27;77;62;162;65;30;Shades of green#Brunswick green
7BB661;123;182;97;102;47;71;Spring bud#Bud green
FFC680;255;198;128;33;50;100;Buff (colour)
800020;128;0;32;345;100;50;Burgundy (color)
DEB887;222;184;135;34;39;87;X11 color names#Color name charts
A17A74;161;122;116;8;28;63;List of Crayola crayon colors#Silver Swirls
CC5500;204;85;0;25;100;80;Shades of orange#Burnt orange
E97451;233;116;81;14;65;91;Burnt sienna
8A3324;138;51;36;9;74;54;Burnt umber
BD33A4;189;51;164;311;73;74;Byzantium (color)#Byzantine
702963;112;41;99;311;63;44;Byzantium (color)
536872;83;104;114;199;27;45;Cadet grey#Cadet
5F9EA0;95;158;160;182;41;63;25
A9B2C3;169;178;195;219;13;76;Cadet grey#Cadet blue (Crayola)
91A3B0;145;163;176;205;18;69;Cadet grey
006B3C;0;107;60;154;100;42;Cadmium pigments
ED872D;237;135;45;28;81;93;Cadmium pigments
E30022;227;0;34;351;100;89;Cadmium pigments
FFF600;255;246;0;58;100;100;Cadmium pigments
A67B5B;166;123;91;26;45;65;Coffee (color)#Café au Lait
4B3621;75;54;33;30;56;29;Coffee (color)#Café Noir
A3C1AD;163;193;173;140;16;76;19
C19A6B;193;154;107;33;45;76;Camel (color)#Camel
EFBBCC;239;187;204;340;22;94;Shades of pink#Cameo pink
FFFF99;255;255;153;60;40;100;History of Crayola crayons#Crayola No. 64
FFEF00;255;239;0;56;100;100;Shades of yellow#Yellow (CMYK) (process yellow) (canary yellow)
FF0800;255;8;0;2;100;100;Candy apple red
E4717A;228;113;122;355;50;89;Candy apple red#Candy pink
00BFFF;0;191;255;195;100;100;Sky blue#Deep sky blue
592720;89;39;32;7;64;35;Caput mortuum (pigment)
C41E3A;196;30;58;350;85;77;Cardinal (color)
00CC99;0;204;153;165;100;80;Spring green#Caribbean green
960018;150;0;24;350;100;59;Carmine (color)
D70040;215;0;64;342;100;84;Carmine (color)#Rich carmine
FFA6C9;255;166;201;336;35;100;Carnation pink
B31B1B;179;27;27;0;85;70;Carnelian (color)
56A0D3;86;160;211;204;59;83;Carolina blue
ED9121;237;145;33;33;86;93;Shades of orange#Carrot orange
00563F;0;86;63;164;100;34;Shades of green#Castleton green
703642;112;54;66;348;52;44;Catawba (grape)#Catawba (color)
C95A49;201;90;73;8;64;79;List of Crayola crayon colors#Magic Scent
